Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
,,,,,
Timur Ender,Candace Avalos,Joe Furi,Terrence Hayes,Loretta Smith,Michael (Mike) Sands
Jamie Dunphy,Timur Ender,Noah Ernst,Joe Furi,Michael (Mike) Sands,
Peggy Sue Owens,Timur Ender,,,,
Joe Furi,,,,,
Candace Avalos,,,,,
,,,,,
Loretta Smith,,,,,
Jamie Dunphy,Noah Ernst,Joe Allen,Thomas Shervey,Terrence Hayes,Timur Ender
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Loretta Smith,Jamie Dunphy,Steph Routh,Cayle Tern,Candace Avalos,Timur Ender
Terrence Hayes,Loretta Smith,Doug Clove,Joe Allen,Thomas Shervey,Steph Routh
Jamie Dunphy,David Linn,Candace Avalos,Steph Routh,Loretta Smith,Terrence Hayes
Doug Clove,,,,,
Steph Routh,Michael (Mike) Sands,David Linn,,,
Noah Ernst,,,,,
Peggy Sue Owens,Deian Salazar,Terrence Hayes,Loretta Smith,Jamie Dunphy,Noah Ernst
Joe Allen,,,,,
Steph Routh,Candace Avalos,Timur Ender,Terrence Hayes,,
Terrence Hayes,Noah Ernst,Candace Avalos,,,
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Loretta Smith,,,,,
Candace Avalos,Timur Ender,Steph Routh,,,
Timur Ender,Thomas Shervey,Jamie Dunphy,Loretta Smith,Doug Clove,Joe Allen
Loretta Smith,Terrence Hayes,Michael (Mike) Sands,Steph Routh,Timur Ender,Joe Allen
Loretta Smith,David Linn,Peggy Sue Owens,Joe Allen,Terrence Hayes,Doug Clove
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Steph Routh,Jamie Dunphy,Terrence Hayes,,,
Candace Avalos,Steph Routh,Terrence Hayes,Timur Ender,Loretta Smith,Jamie Dunphy
Jamie Dunphy,Steph Routh,Terrence Hayes,Candace Avalos,Loretta Smith,Joe Furi
Joe Allen,Loretta Smith,,,,
Steph Routh,Candace Avalos,David Linn,Jamie Dunphy,Cayle Tern,Loretta Smith
Jamie Dunphy,,,,,
Terrence Hayes,Noah Ernst,Candace Avalos,,,
Steph Routh,Terrence Hayes,Loretta Smith,Jamie Dunphy,,
Steph Routh,,,,,
Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Cayle Tern,Loretta Smith
Noah Ernst,Steph Routh,Timur Ender,Candace Avalos,Doug Clove,Thomas Shervey
Terrence Hayes,Loretta Smith,,,,
Peggy Sue Owens,,,,,
Timur Ender,Candace Avalos,David Linn,Cayle Tern,Joe Furi,Terrence Hayes
Thomas Shervey,Jamie Dunphy,Joe Allen,David Linn,Noah Ernst,Timur Ender
Terrence Hayes,,,,,
David Linn,Timur Ender,Candace Avalos,,,
Jamie Dunphy,Steph Routh,Noah Ernst,David Linn,Loretta Smith,Candace Avalos
Jamie Dunphy,Timur Ender,Steph Routh,Candace Avalos,Michael (Mike) Sands,David Linn
Candace Avalos,Jamie Dunphy,Terrence Hayes,,,
Terrence Hayes,Candace Avalos,Michael (Mike) Sands,Loretta Smith,Jamie Dunphy,Peggy Sue Owens
Jamie Dunphy,Loretta Smith,Steph Routh,Terrence Hayes,Deian Salazar,Doug Clove
Candace Avalos,Cayle Tern,Timur Ender,,,
Candace Avalos,Noah Ernst,Timur Ender,,,
Peggy Sue Owens,Timur Ender,Noah Ernst,,,
Loretta Smith,,,,,
Steph Routh,Terrence Hayes,Jamie Dunphy,Joe Allen,Candace Avalos,Doug Clove
Steph Routh,Candace Avalos,Terrence Hayes,Noah Ernst,David Linn,Michael (Mike) Sands
Terrence Hayes,Steph Routh,Loretta Smith,Timur Ender,Cayle Tern,Jamie Dunphy
Jamie Dunphy,Loretta Smith,Timur Ender,Steph Routh,Terrence Hayes,Noah Ernst
Terrence Hayes,Noah Ernst,Timur Ender,,,
Timur Ender,Jamie Dunphy,David Linn,Cayle Tern,Candace Avalos,Steph Routh
Candace Avalos,Joe Allen,Loretta Smith,Steph Routh,Deian Salazar,Michael (Mike) Sands
,,,,,
Timur Ender,Candace Avalos,Loretta Smith,Steph Routh,Terrence Hayes,
Terrence Hayes,Loretta Smith,Steph Routh,Joe Furi,Candace Avalos,Peggy Sue Owens
Steph Routh,Loretta Smith,Terrence Hayes,David Linn,Deian Salazar,
Noah Ernst,Doug Clove,Loretta Smith,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Peggy Sue Owens,Joe Furi,Cayle Tern,Noah Ernst,Joe Allen,Thomas Shervey
Noah Ernst,Timur Ender,Doug Clove,Joe Furi,Loretta Smith,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Noah Ernst,Thomas Shervey,Doug Clove,Joe Allen,Cayle Tern,David Linn
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,David Linn,
Candace Avalos,,,,,
David Linn,Candace Avalos,Doug Clove,Michael (Mike) Sands,Timur Ender,Peggy Sue Owens
Deian Salazar,Jamie Dunphy,Michael (Mike) Sands,Terrence Hayes,Cayle Tern,Thomas Shervey
Noah Ernst,Doug Clove,Joe Allen,Write-in-120,Write-in-121,Write-in-122
Steph Routh,Doug Clove,David Linn,Loretta Smith,Timur Ender,Thomas Shervey
David Linn,Terrence Hayes,,,,
Timur Ender,Terrence Hayes,Steph Routh,,,
Jamie Dunphy,Steph Routh,Terrence Hayes,,,
Loretta Smith,Candace Avalos,Terrence Hayes,Peggy Sue Owens,,
Steph Routh,Terrence Hayes,Timur Ender,Jamie Dunphy,Candace Avalos,Deian Salazar
Jamie Dunphy,Steph Routh,,,,
Doug Clove,,,,,
Steph Routh,Timur Ender,Noah Ernst,Loretta Smith,Candace Avalos,Terrence Hayes
Timur Ender,,,,,
Jamie Dunphy,Steph Routh,Thomas Shervey,Terrence Hayes,Candace Avalos,Timur Ender
Candace Avalos,Timur Ender,Cayle Tern,Steph Routh,Jamie Dunphy,
Loretta Smith,Candace Avalos,Peggy Sue Owens,Jamie Dunphy,Deian Salazar,Michael (Mike) Sands
Candace Avalos,Terrence Hayes,,,,
Loretta Smith,Timur Ender,Terrence Hayes,Doug Clove,Steph Routh,Jamie Dunphy
Candace Avalos,Terrence Hayes,Steph Routh,Jamie Dunphy,Doug Clove,Joe Allen
Candace Avalos,Cayle Tern,Steph Routh,Jamie Dunphy,Timur Ender,Loretta Smith
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Timur Ender,Steph Routh,Candace Avalos,David Linn,Cayle Tern,Jamie Dunphy
Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,,
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,Cayle Tern,Doug Clove
Candace Avalos,Jamie Dunphy,Timur Ender,Loretta Smith,Cayle Tern,Deian Salazar
Deian Salazar,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Loretta Smith,Thomas Shervey,Joe Furi,Steph Routh,Jamie Dunphy,David Linn
Noah Ernst,Joe Allen,David Linn,Cayle Tern,Michael (Mike) Sands,Thomas Shervey
Steph Routh,Jamie Dunphy,Loretta Smith,Candace Avalos,Noah Ernst,Peggy Sue Owens
Jamie Dunphy,Steph Routh,David Linn,Timur Ender,Candace Avalos,Terrence Hayes
Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
Candace Avalos,Cayle Tern,Timur Ender,,,
David Linn,Noah Ernst,Joe Furi,Loretta Smith,Terrence Hayes,Timur Ender
Steph Routh,Candace Avalos,Jamie Dunphy,Thomas Shervey,Loretta Smith,Peggy Sue Owens
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Jamie Dunphy,,,,,
Timur Ender,Jamie Dunphy,Steph Routh,Terrence Hayes,Candace Avalos,David Linn
Loretta Smith,Candace Avalos,David Linn,Steph Routh,Timur Ender,Jamie Dunphy
Timur Ender,Michael (Mike) Sands,Steph Routh,Terrence Hayes,Cayle Tern,Candace Avalos
Noah Ernst,Timur Ender,Joe Furi,,,
David Linn,Doug Clove,Steph Routh,Terrence Hayes,Thomas Shervey,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Terrence Hayes,Cayle Tern,Joe Allen,Deian Salazar
Candace Avalos,Steph Routh,Timur Ender,Cayle Tern,David Linn,Jamie Dunphy
Steph Routh,Candace Avalos,Timur Ender,David Linn,Jamie Dunphy,Cayle Tern
Loretta Smith,Terrence Hayes,Candace Avalos,,,
Noah Ernst,,,,,
Noah Ernst,Cayle Tern,,,,
Write-in-120,Write-in-121,Write-in-122,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
Candace Avalos,Jamie Dunphy,Steph Routh,,,
Peggy Sue Owens,Candace Avalos,Cayle Tern,Loretta Smith,Steph Routh,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Loretta Smith,Steph Routh,,
Steph Routh,Jamie Dunphy,,,,
Candace Avalos,Timur Ender,David Linn,Steph Routh,,
Loretta Smith,Terrence Hayes,Candace Avalos,Steph Routh,Deian Salazar,Michael (Mike) Sands
Candace Avalos,Cayle Tern,Timur Ender,,,
Steph Routh,Jamie Dunphy,Candace Avalos,Cayle Tern,Timur Ender,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Candace Avalos,Cayle Tern,Noah Ernst,Joe Allen,Joe Furi,Michael (Mike) Sands
Timur Ender,Loretta Smith,Terrence Hayes,,,
Terrence Hayes,Noah Ernst,,,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Jamie Dunphy,David Linn,Steph Routh,Candace Avalos,,
Peggy Sue Owens,Candace Avalos,David Linn,Doug Clove,Loretta Smith,Michael (Mike) Sands
Noah Ernst,Deian Salazar,,,,
Steph Routh,Jamie Dunphy,David Linn,,,
Terrence Hayes,Noah Ernst,Jamie Dunphy,Doug Clove,Deian Salazar,
Loretta Smith,Candace Avalos,Jamie Dunphy,,,
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,,
Steph Routh,,,,,
Terrence Hayes,Peggy Sue Owens,Timur Ender,Joe Allen,Candace Avalos,Noah Ernst
David Linn,Loretta Smith,Steph Routh,Terrence Hayes,Cayle Tern,Timur Ender
Terrence Hayes,Loretta Smith,Candace Avalos,Peggy Sue Owens,Joe Furi,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Noah Ernst,,,
Noah Ernst,Michael (Mike) Sands,Loretta Smith,David Linn,Cayle Tern,Terrence Hayes
Candace Avalos,Steph Routh,Timur Ender,Cayle Tern,,
Joe Allen,Candace Avalos,Loretta Smith,Michael (Mike) Sands,Doug Clove,Peggy Sue Owens
Noah Ernst,Jamie Dunphy,,,,
Doug Clove,Joe Furi,Noah Ernst,,,
Candace Avalos,Terrence Hayes,Jamie Dunphy,Cayle Tern,Noah Ernst,Timur Ender
Candace Avalos,Steph Routh,Timur Ender,,,
Loretta Smith,Deian Salazar,,,,
Doug Clove,Timur Ender,David Linn,Loretta Smith,Jamie Dunphy,
Candace Avalos,Steph Routh,Jamie Dunphy,Loretta Smith,Timur Ender,Peggy Sue Owens
Loretta Smith,Terrence Hayes,,,,
Loretta Smith,Deian Salazar,Doug Clove,Candace Avalos,Write-in-120,Thomas Shervey
Loretta Smith,,,,,
Loretta Smith,Terrence Hayes,Jamie Dunphy,Candace Avalos,Cayle Tern,Steph Routh
Michael (Mike) Sands,Steph Routh,Jamie Dunphy,Cayle Tern,Timur Ender,Candace Avalos
Terrence Hayes,,,,,
Noah Ernst,,,,,
Noah Ernst,,,,,
Jamie Dunphy,Candace Avalos,Timur Ender,Steph Routh,Loretta Smith,
Timur Ender,Loretta Smith,Steph Routh,Terrence Hayes,Jamie Dunphy,
Timur Ender,Candace Avalos,Deian Salazar,Loretta Smith,Thomas Shervey,Jamie Dunphy
Candace Avalos,Loretta Smith,Steph Routh,,,
Peggy Sue Owens,Candace Avalos,Loretta Smith,Steph Routh,Jamie Dunphy,Cayle Tern
Noah Ernst,Terrence Hayes,Loretta Smith,,,
Noah Ernst,Steph Routh,,,,
Steph Routh,Jamie Dunphy,Loretta Smith,Candace Avalos,Timur Ender,Terrence Hayes
Peggy Sue Owens,Candace Avalos,Timur Ender,Michael (Mike) Sands,Steph Routh,David Linn
Terrence Hayes,Candace Avalos,Steph Routh,,,
Jamie Dunphy,Candace Avalos,Noah Ernst,David Linn,Loretta Smith,
Loretta Smith,Noah Ernst,Jamie Dunphy,Candace Avalos,Steph Routh,David Linn
Jamie Dunphy,Loretta Smith,Steph Routh,Terrence Hayes,Deian Salazar,Doug Clove
Terrence Hayes,Loretta Smith,Candace Avalos,Steph Routh,Jamie Dunphy,Timur Ender
Terrence Hayes,,,,,
Loretta Smith,,,,,
Cayle Tern,Loretta Smith,Jamie Dunphy,Candace Avalos,Noah Ernst,Michael (Mike) Sands
Loretta Smith,Deian Salazar,Timur Ender,Terrence Hayes,Jamie Dunphy,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
David Linn,Terrence Hayes,Joe Furi,Loretta Smith,Steph Routh,
Terrence Hayes,Noah Ernst,Doug Clove,Loretta Smith,,
Terrence Hayes,Noah Ernst,Doug Clove,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Peggy Sue Owens,David Linn,Thomas Shervey,,,
David Linn,Cayle Tern,Jamie Dunphy,Steph Routh,,
Timur Ender,Steph Routh,Noah Ernst,Loretta Smith,,
Loretta Smith,Steph Routh,Timur Ender,Terrence Hayes,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Candace Avalos,Steph Routh,Timur Ender,Cayle Tern,Loretta Smith,
Thomas Shervey,Candace Avalos,Timur Ender,Jamie Dunphy,David Linn,
Candace Avalos,Timur Ender,Terrence Hayes,,,
Timur Ender,Candace Avalos,Loretta Smith,,,
Jamie Dunphy,,,,,
Steph Routh,Terrence Hayes,Noah Ernst,Doug Clove,Loretta Smith,Thomas Shervey
Jamie Dunphy,Candace Avalos,Timur Ender,,,
Michael (Mike) Sands,Noah Ernst,Terrence Hayes,Doug Clove,,
Terrence Hayes,Jamie Dunphy,Candace Avalos,,,
Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,David Linn,Cayle Tern
Loretta Smith,,,,,
Timur Ender,David Linn,Steph Routh,Terrence Hayes,Candace Avalos,Noah Ernst
Michael (Mike) Sands,Terrence Hayes,Doug Clove,Noah Ernst,Cayle Tern,Jamie Dunphy
Noah Ernst,Loretta Smith,Doug Clove,Deian Salazar,Cayle Tern,Joe Allen
Candace Avalos,Cayle Tern,Timur Ender,,,
Terrence Hayes,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Noah Ernst,Terrence Hayes,Thomas Shervey,Loretta Smith,,
Candace Avalos,,,,,
Steph Routh,Candace Avalos,Jamie Dunphy,Michael (Mike) Sands,Cayle Tern,Deian Salazar
Michael (Mike) Sands,Candace Avalos,Doug Clove,David Linn,Joe Allen,Timur Ender
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Noah Ernst,Loretta Smith,Doug Clove,,,
Noah Ernst,Deian Salazar,,,,
Candace Avalos,Steph Routh,Noah Ernst,Jamie Dunphy,Loretta Smith,Doug Clove
Jamie Dunphy,,,,,
Deian Salazar,Doug Clove,Noah Ernst,Timur Ender,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Loretta Smith,Candace Avalos,Terrence Hayes,Jamie Dunphy,Steph Routh,Peggy Sue Owens
Candace Avalos,Steph Routh,Timur Ender,,,
Timur Ender,Candace Avalos,Joe Allen,Doug Clove,Jamie Dunphy,Terrence Hayes
Jamie Dunphy,Timur Ender,Steph Routh,Candace Avalos,,
Loretta Smith,Steph Routh,Candace Avalos,Peggy Sue Owens,,
Loretta Smith,Steph Routh,Timur Ender,Candace Avalos,Doug Clove,David Linn
Noah Ernst,Joe Allen,David Linn,Doug Clove,Joe Furi,Michael (Mike) Sands
Terrence Hayes,Noah Ernst,Candace Avalos,,,
,,,,,
Steph Routh,Candace Avalos,Jamie Dunphy,Loretta Smith,Terrence Hayes,
Steph Routh,Jamie Dunphy,Timur Ender,David Linn,Noah Ernst,Loretta Smith
Timur Ender,David Linn,Doug Clove,Michael (Mike) Sands,,
Jamie Dunphy,Steph Routh,Candace Avalos,Loretta Smith,Terrence Hayes,Noah Ernst
Jamie Dunphy,Steph Routh,Candace Avalos,Timur Ender,Loretta Smith,Joe Allen
David Linn,Cayle Tern,Steph Routh,Candace Avalos,Doug Clove,Thomas Shervey
Timur Ender,Noah Ernst,,,,
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Timur Ender,Joe Allen,Doug Clove,Loretta Smith,Noah Ernst,Candace Avalos
Noah Ernst,,,,,
Candace Avalos,Timur Ender,Steph Routh,Terrence Hayes,David Linn,Jamie Dunphy
Candace Avalos,Loretta Smith,Steph Routh,Jamie Dunphy,Timur Ender,
Michael (Mike) Sands,David Linn,Loretta Smith,Deian Salazar,Peggy Sue Owens,Terrence Hayes
Loretta Smith,Candace Avalos,Timur Ender,Steph Routh,David Linn,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
Candace Avalos,Loretta Smith,Terrence Hayes,,,
Terrence Hayes,,,,,
Steph Routh,Timur Ender,Candace Avalos,Deian Salazar,Terrence Hayes,Jamie Dunphy
Noah Ernst,Joe Allen,Doug Clove,Steph Routh,Thomas Shervey,Michael (Mike) Sands
David Linn,Peggy Sue Owens,Michael (Mike) Sands,Terrence Hayes,Doug Clove,Deian Salazar
Candace Avalos,,,,,
Jamie Dunphy,Steph Routh,David Linn,Loretta Smith,,
David Linn,Timur Ender,Joe Allen,Doug Clove,Noah Ernst,Michael (Mike) Sands
Terrence Hayes,Steph Routh,Candace Avalos,Joe Allen,Michael (Mike) Sands,David Linn
Jamie Dunphy,Loretta Smith,Terrence Hayes,,,
Jamie Dunphy,Timur Ender,Steph Routh,Loretta Smith,,
Candace Avalos,Cayle Tern,Jamie Dunphy,,,
Candace Avalos,,,,,
Candace Avalos,Steph Routh,Timur Ender,,,
Candace Avalos,Timur Ender,Jamie Dunphy,Steph Routh,Cayle Tern,Michael (Mike) Sands
Terrence Hayes,Loretta Smith,Joe Furi,Candace Avalos,Timur Ender,Cayle Tern
Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Timur Ender,Cayle Tern
Loretta Smith,Timur Ender,Doug Clove,Steph Routh,Terrence Hayes,Noah Ernst
Noah Ernst,Doug Clove,Deian Salazar,,,
Candace Avalos,Steph Routh,Cayle Tern,Joe Furi,,
Candace Avalos,Timur Ender,Cayle Tern,Steph Routh,Joe Furi,Loretta Smith
Michael (Mike) Sands,Peggy Sue Owens,David Linn,Loretta Smith,Candace Avalos,Steph Routh
David Linn,Noah Ernst,Timur Ender,Joe Allen,Thomas Shervey,Steph Routh
Jamie Dunphy,Steph Routh,Terrence Hayes,Candace Avalos,Loretta Smith,Michael (Mike) Sands
Terrence Hayes,Candace Avalos,Noah Ernst,Timur Ender,Steph Routh,David Linn
Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,Loretta Smith,Joe Allen
Steph Routh,,,,,
Jamie Dunphy,,,,,
Peggy Sue Owens,Timur Ender,Noah Ernst,Candace Avalos,Joe Allen,David Linn
Deian Salazar,David Linn,Candace Avalos,Peggy Sue Owens,Joe Allen,Thomas Shervey
Loretta Smith,Timur Ender,Noah Ernst,Terrence Hayes,,
Noah Ernst,Doug Clove,Terrence Hayes,,,
Loretta Smith,,,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Steph Routh,Loretta Smith,Deian Salazar,,,
Loretta Smith,Timur Ender,Terrence Hayes,Candace Avalos,David Linn,Jamie Dunphy
Steph Routh,Jamie Dunphy,Loretta Smith,,,
Timur Ender,Jamie Dunphy,Terrence Hayes,,,
Loretta Smith,Doug Clove,Peggy Sue Owens,David Linn,Deian Salazar,Jamie Dunphy
Timur Ender,Candace Avalos,Steph Routh,Jamie Dunphy,David Linn,
Candace Avalos,,,,,
Loretta Smith,,,,,
Steph Routh,Loretta Smith,Terrence Hayes,,,
Candace Avalos,Steph Routh,Cayle Tern,Timur Ender,Jamie Dunphy,
Michael (Mike) Sands,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn
Joe Allen,Noah Ernst,Joe Furi,,,
Terrence Hayes,,,,,
Timur Ender,Loretta Smith,Steph Routh,Jamie Dunphy,,
Terrence Hayes,Candace Avalos,,,,
David Linn,Timur Ender,Cayle Tern,Candace Avalos,,
Steph Routh,Candace Avalos,Jamie Dunphy,Timur Ender,,
Terrence Hayes,Candace Avalos,Timur Ender,Noah Ernst,,
Timur Ender,Noah Ernst,Joe Allen,,,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,,
Loretta Smith,Terrence Hayes,Timur Ender,Jamie Dunphy,Deian Salazar,Candace Avalos
Timur Ender,David Linn,Doug Clove,Joe Furi,Deian Salazar,Steph Routh
Terrence Hayes,Steph Routh,,,,
Jamie Dunphy,Candace Avalos,Timur Ender,Steph Routh,,
Jamie Dunphy,Candace Avalos,Steph Routh,David Linn,Noah Ernst,
Timur Ender,Candace Avalos,,,,
Candace Avalos,Noah Ernst,Doug Clove,,,
Steph Routh,Candace Avalos,Jamie Dunphy,,,
Noah Ernst,Terrence Hayes,Loretta Smith,,,
Joe Allen,Michael (Mike) Sands,Thomas Shervey,Noah Ernst,David Linn,
Candace Avalos,Cayle Tern,Timur Ender,Jamie Dunphy,Steph Routh,David Linn
Jamie Dunphy,Candace Avalos,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Candace Avalos,Cayle Tern,Timur Ender,,,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Terrence Hayes,Loretta Smith,David Linn,,,
Jamie Dunphy,Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,
Timur Ender,Candace Avalos,David Linn,Cayle Tern,Joe Furi,Terrence Hayes
Loretta Smith,Steph Routh,Jamie Dunphy,,,
Timur Ender,,,,,
Jamie Dunphy,Joe Furi,Timur Ender,Candace Avalos,Doug Clove,Steph Routh
Candace Avalos,Cayle Tern,,,,
Loretta Smith,Doug Clove,Joe Furi,Joe Allen,Peggy Sue Owens,Timur Ender
Steph Routh,Jamie Dunphy,Candace Avalos,Noah Ernst,Loretta Smith,
Noah Ernst,Peggy Sue Owens,Michael (Mike) Sands,,,
Loretta Smith,,,,,
David Linn,Candace Avalos,,,,
Terrence Hayes,Steph Routh,,,,
Candace Avalos,Jamie Dunphy,Steph Routh,,,
Jamie Dunphy,Cayle Tern,Timur Ender,Candace Avalos,Steph Routh,
Candace Avalos,Joe Allen,Michael (Mike) Sands,Deian Salazar,Steph Routh,Loretta Smith
Candace Avalos,Timur Ender,Cayle Tern,Michael (Mike) Sands,Terrence Hayes,Steph Routh
Terrence Hayes,,,,,
Candace Avalos,Terrence Hayes,Thomas Shervey,Doug Clove,Steph Routh,Jamie Dunphy
Loretta Smith,,,,,
Candace Avalos,Steph Routh,Cayle Tern,Loretta Smith,Jamie Dunphy,Terrence Hayes
Timur Ender,David Linn,Joe Furi,Deian Salazar,Thomas Shervey,Terrence Hayes
Candace Avalos,,,,,
Candace Avalos,Jamie Dunphy,Cayle Tern,Loretta Smith,Joe Furi,Timur Ender
Steph Routh,Jamie Dunphy,Candace Avalos,Noah Ernst,David Linn,Loretta Smith
David Linn,Cayle Tern,Loretta Smith,Steph Routh,Timur Ender,Terrence Hayes
Candace Avalos,Joe Furi,Cayle Tern,Loretta Smith,Jamie Dunphy,Peggy Sue Owens
Timur Ender,Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh,
Candace Avalos,Loretta Smith,Jamie Dunphy,,,
Timur Ender,,,,,
Noah Ernst,Jamie Dunphy,David Linn,,,
Steph Routh,Terrence Hayes,Jamie Dunphy,,,
Noah Ernst,Loretta Smith,Candace Avalos,Deian Salazar,Joe Allen,Doug Clove
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,,
Jamie Dunphy,Steph Routh,Candace Avalos,David Linn,Noah Ernst,
Jamie Dunphy,Steph Routh,Timur Ender,Candace Avalos,,
Joe Allen,Peggy Sue Owens,Michael (Mike) Sands,Thomas Shervey,Steph Routh,David Linn
Jamie Dunphy,Timur Ender,Noah Ernst,,,
Loretta Smith,Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern
Doug Clove,Michael (Mike) Sands,,,,
Candace Avalos,Michael (Mike) Sands,Terrence Hayes,Jamie Dunphy,Thomas Shervey,Peggy Sue Owens
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Noah Ernst,Loretta Smith,Timur Ender,Steph Routh,,
Cayle Tern,Candace Avalos,Steph Routh,Timur Ender,,
Terrence Hayes,Loretta Smith,Noah Ernst,Timur Ender,Michael (Mike) Sands,Doug Clove
Timur Ender,Steph Routh,Loretta Smith,Terrence Hayes,Candace Avalos,David Linn
Steph Routh,Candace Avalos,Jamie Dunphy,,,
Candace Avalos,Jamie Dunphy,,,,
Loretta Smith,Candace Avalos,Terrence Hayes,,,
Terrence Hayes,Noah Ernst,Joe Furi,Loretta Smith,Doug Clove,Write-in-120
Steph Routh,Jamie Dunphy,Noah Ernst,Candace Avalos,Terrence Hayes,
Doug Clove,,,,,
Noah Ernst,Joe Furi,,,,
Noah Ernst,,,,,
Jamie Dunphy,Steph Routh,,,,
Peggy Sue Owens,Joe Furi,Joe Allen,Loretta Smith,Terrence Hayes,Jamie Dunphy
Loretta Smith,Timur Ender,Steph Routh,Terrence Hayes,Candace Avalos,
Candace Avalos,Timur Ender,Steph Routh,Jamie Dunphy,Cayle Tern,David Linn
Candace Avalos,Jamie Dunphy,Timur Ender,David Linn,Thomas Shervey,Terrence Hayes
Noah Ernst,David Linn,Doug Clove,,,
Steph Routh,Peggy Sue Owens,Loretta Smith,Candace Avalos,Thomas Shervey,Timur Ender
Terrence Hayes,Candace Avalos,Noah Ernst,,,
David Linn,,,,,
Jamie Dunphy,Terrence Hayes,Doug Clove,Timur Ender,Loretta Smith,Thomas Shervey
Steph Routh,Timur Ender,,,,
Deian Salazar,Joe Allen,Joe Furi,Steph Routh,Loretta Smith,Noah Ernst
Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,Steph Routh
David Linn,Candace Avalos,Timur Ender,,,
Candace Avalos,Jamie Dunphy,Timur Ender,Loretta Smith,Deian Salazar,
Candace Avalos,Jamie Dunphy,Steph Routh,Timur Ender,Loretta Smith,Terrence Hayes
Loretta Smith,Terrence Hayes,Steph Routh,,,
Doug Clove,,,,,
Jamie Dunphy,Timur Ender,Candace Avalos,Steph Routh,Loretta Smith,Noah Ernst
,,,,,
Terrence Hayes,Timur Ender,Candace Avalos,Steph Routh,,
Candace Avalos,Timur Ender,Steph Routh,,,
Noah Ernst,Terrence Hayes,Cayle Tern,Candace Avalos,Loretta Smith,Steph Routh
Noah Ernst,Jamie Dunphy,Joe Allen,Timur Ender,Doug Clove,Terrence Hayes
Timur Ender,Candace Avalos,,,,
Jamie Dunphy,Terrence Hayes,,,,
Candace Avalos,Timur Ender,Steph Routh,Doug Clove,Michael (Mike) Sands,Joe Allen
Jamie Dunphy,,,,,
Doug Clove,,,,,
Candace Avalos,Cayle Tern,David Linn,Steph Routh,Jamie Dunphy,
Loretta Smith,Noah Ernst,Terrence Hayes,Jamie Dunphy,Cayle Tern,
Loretta Smith,Terrence Hayes,Steph Routh,,,
Noah Ernst,Timur Ender,David Linn,Cayle Tern,Steph Routh,
